category,delta_q_early_clip,delta_q_final_clip,pair_id,sample_id,sign_agree_clip,subgroup,timestep_mode,valid_clip
2_add_object_80,-0.15249043703079224,-0.25382137298583984,12,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.14522165060043335,0.005529463291168213,13,piebench_2_add_object_80_211000000001,0,structural_discrete,first_two,1
2_add_object_80,0.3146953880786896,0.09060019254684448,14,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.3678938150405884,-0.6474455893039703,15,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.014492273330688477,-0.18588882684707642,0,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.1347612738609314,0.09033572673797607,1,piebench_2_add_object_80_212000000009,1,structural_discrete,first_only,1
2_add_object_80,-0.06661465764045715,-0.0574185848236084,2,piebench_2_add_object_80_212000000009,1,structural_discrete,first_only,1
2_add_object_80,0.03163471817970276,-0.03760206699371338,3,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,-0.17331841588020325,0.14622241258621216,4,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.06331777572631836,0.034049928188323975,5,piebench_2_add_object_80_212000000009,1,structural_discrete,first_only,1
2_add_object_80,-0.12160664796829224,0.15351760387420654,6,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,-0.16915607452392578,0.05495387315750122,7,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.07438105344772339,-0.2010585069656372,8,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,-0.22980892658233643,0.003734290599822998,9,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,-0.047341346740722656,0.2626582980155945,10,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,-0.14004117250442505,0.18140310049057007,11,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.07118207216262817,0.1044355034828186,12,piebench_2_add_object_80_212000000009,1,structural_discrete,first_only,1
2_add_object_80,-0.04042232036590576,0.1277080774307251,13,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.13677358627319336,-0.221568763256073,14,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.06917375326156616,-0.24160975217819214,15,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
2_add_object_80,0.08241841197013855,-0.15194517374038696,0,piebench_2_add_object_80_212000000009,0,structural_discrete,first_two,1
2_add_object_80,0.0007456541061401367,-0.1411462426185608,1,piebench_2_add_object_80_212000000009,0,structural_discrete,first_two,1
2_add_object_80,-0.2372419834136963,-0.17791026830673218,2,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,-0.26021674275398254,-0.19651150703430176,3,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,-0.1102554202079773,0.06238126754760742,4,piebench_2_add_object_80_212000000009,0,structural_discrete,first_two,1
2_add_object_80,0.07270491123199463,-0.0562436580657959,5,piebench_2_add_object_80_212000000009,0,structural_discrete,first_two,1
2_add_object_80,0.14919722080230713,0.22077417373657227,6,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,0.21613943576812744,0.26484328508377075,7,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,-0.22140365839004517,-0.2777383327484131,8,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,-0.1435549557209015,-0.06937825679779053,9,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,-0.22162958979606628,-0.35733067989349365,10,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,0.11062192916870117,0.24125945568084717,11,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,0.06496524810791016,-0.06831902265548706,12,piebench_2_add_object_80_212000000009,0,structural_discrete,first_two,1
2_add_object_80,0.2625972330570221,0.19902223348617554,13,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,0.16769951581954956,0.043059468269348145,14,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
2_add_object_80,-0.0849059522151947,-0.383816659450531,15,piebench_2_add_object_80_212000000009,1,structural_discrete,first_two,1
3_delete_object_80,0.30645644664764404,0.378534197807312,0,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.056127309799194336,0.033371686935424805,1,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.1363885998725891,-0.37601637840270996,2,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.04938089847564697,0.3134744167327881,3,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.082222580909729,0.04725635051727295,4,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.03424447774887085,-0.2067909836769104,5,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.03727924823760986,0.11307680606842041,6,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.045339226722717285,-0.2582250237464905,7,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.02766287326812744,-0.06283378601074219,8,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.05526822805404663,0.12940055131912231,9,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.017737627029418945,0.23890471458435059,10,piebench_3_delete_object_80_311000000001,0,structural_discrete,first_only,1
3_delete_object_80,-0.15133023262023926,-0.30425843596458435,11,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.0023322105407714844,-0.2624468207359314,12,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.06370681524276733,-0.08589404821395874,13,piebench_3_delete_object_80_311000000001,0,structural_discrete,first_only,1
3_delete_object_80,-0.03928780555725098,-0.14981704950332642,14,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,-0.1342695951461792,-0.3041035532951355,15,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_only,1
3_delete_object_80,0.373563289642334,0.6135013103485107,0,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,0.194374680519104,0.166105717420578,1,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.15797674655914307,-0.10421061515808105,2,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,0.06561464071273804,0.34573471546173096,3,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,0.08369189500808716,0.030894994735717773,4,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.11743009090423584,-0.2327219545841217,5,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,0.21434086561203003,0.21181520819664001,6,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.11123192310333252,-0.3806018829345703,7,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,0.06434476375579834,-0.03865647315979004,8,piebench_3_delete_object_80_311000000001,0,structural_discrete,first_two,1
3_delete_object_80,0.1463242769241333,0.03592836856842041,9,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.021612048149108887,0.361624538898468,10,piebench_3_delete_object_80_311000000001,0,structural_discrete,first_two,1
3_delete_object_80,-0.156280517578125,-0.5118082761764526,11,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.0291903018951416,-0.04862499237060547,12,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,0.14692485332489014,0.01299828290939331,13,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.08004188537597656,-0.18514829874038696,14,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.24822545051574707,-0.45174357295036316,15,piebench_3_delete_object_80_311000000001,1,structural_discrete,first_two,1
3_delete_object_80,-0.09163463115692139,-0.2807425260543823,0,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.006603538990020752,-0.10482114553451538,1,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.028563976287841797,0.05738413333892822,2,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.0284612774848938,-0.15062105655670166,3,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.10857242345809937,0.15946853160858154,4,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.007267296314239502,0.15821099281311035,5,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.026365220546722412,0.006009221076965332,6,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.01585298776626587,-0.05637919902801514,7,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.008067190647125244,-0.04941356182098389,8,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.032329261302948,0.106478750705719,9,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.025945186614990234,-0.04710245132446289,10,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.019834935665130615,0.01387643814086914,11,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.0088462233543396,0.05987906455993652,12,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,0.12081050872802734,-0.05358701944351196,13,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,0.014613211154937744,0.19991403818130493,14,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_only,1
3_delete_object_80,-0.040350139141082764,0.024774551391601562,15,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_only,1
3_delete_object_80,-0.028819382190704346,-0.151106059551239,0,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_two,1
3_delete_object_80,0.024038374423980713,-0.0021338462829589844,1,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_two,1
3_delete_object_80,-0.021466851234436035,0.09063142538070679,2,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_two,1
3_delete_object_80,-0.04807901382446289,-0.2092929482460022,3,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_two,1
3_delete_object_80,-0.08618992567062378,0.22197920083999634,4,piebench_3_delete_object_80_311000000007,0,structural_discrete,first_two,1
3_delete_object_80,0.02360934019088745,0.24703305959701538,5,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_two,1
3_delete_object_80,0.027177274227142334,0.028396308422088623,6,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_two,1
3_delete_object_80,-0.004702746868133545,-0.10070699453353882,7,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_two,1
3_delete_object_80,-0.0031342506408691406,-0.05277848243713379,8,piebench_3_delete_object_80_311000000007,1,structural_discrete,first_two,1
